"year","violent","murder","robbery","prisoners","afam","cauc","male","population","income","density","state","law"
1977,15666,537,3659,3138,8.384873,55.12291,18.17441,3780403,9563.148,0.0745524,"Alabama","no"
1978,16059,510,3797,3602,8.352101,55.14367,17.99408,3831838,9932,0.0755667,"Alabama","no"
1979,15979,510,4234,5567,8.329575,55.13586,17.83934,3866248,9877.028,0.0762453,"Alabama","no"
1980,17493,515,5152,5500,8.408386,54.91259,17.7342,3900368,9541.428,0.0768288,"Alabama","no"
1981,18437,466,4957,5839,8.483435,54.92513,17.67372,3918531,9548.351,0.0771866,"Alabama","no"
1982,17573,416,4396,7183,8.514,54.89621,17.51052,3925229,9478.919,0.0773185,"Alabama","no"
1983,16366,362,3871,8458,8.545608,54.83936,17.35089,3934103,9783,0.0774933,"Alabama","no"
1984,17040,371,3798,9603,8.559511,54.77876,17.11902,3951826,10357.2,0.0778424,"Alabama","no"
1985,18174,389,4187,10170,8.562801,54.67899,16.85875,3972520,10725.86,0.07825,"Alabama","no"
1986,22273,403,4455,10657,8.566521,54.51791,16.57609,3991562,11091.62,0.0786251,"Alabama","no"
1987,22453,373,4505,11363,8.592103,54.3877,16.2823,4015257,11323.82,0.0790919,"Alabama","no"
1988,22477,398,4740,12353,8.618144,54.23505,15.9927,4023848,11654.96,0.0792611,"Alabama","no"
1989,23811,411,5396,12091,8.638031,54.06622,15.67523,4030224,11963.9,0.0793867,"Alabama","no"
1990,28688,470,5818,13279,8.699674,56.07016,15.3807,4048508,12063.98,0.0797736,"Alabama","no"
1991,34536,470,6251,15137,8.771641,55.97353,15.18314,4091025,12087.82,0.0806113,"Alabama","no"
1992,36082,455,6826,16309,8.877969,55.80952,15.02558,4139269,12398.02,0.081562,"Alabama","no"
1993,32723,486,6688,17066,8.972758,55.66076,14.86296,4193114,12395.8,0.0826229,"Alabama","no"
1994,28941,504,7247,18244,9.047583,55.50783,14.67744,4232965,12673.92,0.0834082,"Alabama","no"
1995,26958,477,7920,19182,9.094921,55.33187,14.54549,4262731,12872.68,0.0839947,"Alabama","no"
1996,24258,429,7165,20208,9.14942,55.3142,14.41802,4290403,12908.91,0.08454,"Alabama","no"
1997,24388,428,6934,21256,9.206091,55.15972,14.30733,4320281,13121.11,0.0851287,"Alabama","no"
1998,22282,352,5696,21755,9.257586,55.25745,14.16984,4351037,13514.1,0.0857347,"Alabama","no"
1999,21421,345,5296,22680,9.331416,55.29781,14.0052,4369862,13737.26,0.0861057,"Alabama","no"
1977,1788,44,391,254,7.835672,62.1413,22.35269,403437,20296.83,0.0007083,"Alaska","no"
1978,1789,52,370,304,7.945618,62.65009,22.05606,404764,19044.99,0.0007106,"Alaska","no"
1979,1978,54,441,511,8.057296,63.09599,21.97401,402753,18115.89,0.0007071,"Alaska","no"
1980,1767,36,332,539,8.123558,62.7206,21.55065,405315,17901.66,0.00071,"Alaska","no"
1981,2577,61,480,598,8.153878,62.80371,21.01661,418488,18075.23,0.0007331,"Alaska","no"
1982,2804,83,602,764,8.149489,62.89593,20.32379,449611,18967.13,0.0007876,"Alaska","no"
1983,2998,67,474,948,8.114173,62.86964,19.54211,488417,19045,0.0008556,"Alaska","no"
1984,3193,60,562,1125,8.094755,62.41428,18.85155,513703,18590.22,0.0008999,"Alaska","no"
1985,3098,52,495,1342,8.05383,61.88262,18.22919,532492,18705.2,0.0009328,"Alaska","no"
1986,3105,47,479,1567,8.0824,61.2697,17.81123,544269,17906.39,0.0009535,"Alaska","no"
1987,2456,54,394,1650,8.185459,60.43927,17.49717,539310,16955.92,0.0009448,"Alaska","no"
1988,2833,31,395,1837,8.39216,60.09351,17.20629,541982,16740.64,0.0009495,"Alaska","no"
1989,2723,44,370,1942,8.556108,59.82404,17.13378,547153,17285.38,0.0009585,"Alaska","no"
1990,2901,41,424,1997,8.630677,60.08334,16.99975,553120,17311.88,0.0009697,"Alaska","no"
1991,3495,42,644,1981,8.526665,60.35909,16.56165,569273,17005.98,0.0009981,"Alaska","no"
1992,3878,44,640,2025,8.534543,60.75548,16.34584,587073,16978.23,0.0010293,"Alaska","no"
1993,4542,54,731,1952,8.630754,60.76018,16.19282,596993,17067.91,0.0010467,"Alaska","no"
1994,4603,38,878,2679,8.593396,60.87202,15.97539,600624,16970.02,0.001053,"Alaska","no"
1995,4636,55,933,1906,8.624999,61.20048,15.75818,601345,16871.89,0.0010543,"Alaska","yes"
1996,4402,45,708,2045,8.75226,61.23177,15.8195,604918,16546.19,0.0010606,"Alaska","yes"
1997,4269,54,648,2332,8.834417,61.00919,15.98483,608846,16816.68,0.0010675,"Alaska","yes"
1998,4023,41,533,2584,8.933932,60.74545,16.30562,615205,17077.45,0.0010786,"Alaska","yes"
1999,3912,53,566,2559,8.986603,60.55464,16.6318,619500,17120.14,0.0010861,"Alaska","yes"
1977,11985,230,3352,3031,3.436422,66.61958,18.72813,2425197,10919.45,0.021383,"Arizona","no"
