"","Comunidad","Año","Total"
"13","Andalucía",2021,8472407
"14","Andalucía",2020,8464411
"15","Andalucía",2019,8414240
"16","Andalucía",2018,8384408
"17","Andalucía",2017,8379820
"18","Andalucía",2016,8388107
"19","Andalucía",2015,8399043
"20","Andalucía",2014,8402305
"21","Andalucía",2013,8440300
"22","Andalucía",2012,8449985
"23","Andalucía",2011,8424102
"24","Andalucía",2010,8370975
"25","Aragón",2021,1326261
"26","Aragón",2020,1329391
"27","Aragón",2019,1319291
"28","Aragón",2018,1308728
"29","Aragón",2017,1308750
"30","Aragón",2016,1308563
"31","Aragón",2015,1317847
"32","Aragón",2014,1325385
"33","Aragón",2013,1347150
"34","Aragón",2012,1349467
"35","Aragón",2011,1346293
"36","Aragón",2010,1347095
"37","Asturias",2021,1011792
"38","Asturias",2020,1018784
"39","Asturias",2019,1022800
"40","Asturias",2018,1028244
"41","Asturias",2017,1034960
"42","Asturias",2016,1042608
"43","Asturias",2015,1051229
"44","Asturias",2014,1061756
"45","Asturias",2013,1068165
"46","Asturias",2012,1077360
"47","Asturias",2011,1081487
"48","Asturias",2010,1084341
"49","Islas Baleares",2021,1173008
"50","Islas Baleares",2020,1171543
"51","Islas Baleares",2019,1149460
"52","Islas Baleares",2018,1128908
"53","Islas Baleares",2017,1115999
"54","Islas Baleares",2016,1107220
"55","Islas Baleares",2015,1104479
"56","Islas Baleares",2014,1103442
"57","Islas Baleares",2013,1111674
"58","Islas Baleares",2012,1119439
"59","Islas Baleares",2011,1113114
"60","Islas Baleares",2010,1106049
"61","Canarias",2021,2172944
"62","Canarias",2020,2175952
"63","Canarias",2019,2153389
"64","Canarias",2018,2127685
"65","Canarias",2017,2108121
"66","Canarias",2016,2101924
"67","Canarias",2015,2100306
"68","Canarias",2014,2104815
"69","Canarias",2013,2118679
"70","Canarias",2012,2118344
"71","Canarias",2011,2126769
"72","Canarias",2010,2118519
"73","Cantabria",2021,584507
"74","Cantabria",2020,582905
"75","Cantabria",2019,581078
"76","Cantabria",2018,580229
"77","Cantabria",2017,580295
"78","Cantabria",2016,582206
"79","Cantabria",2015,585179
"80","Cantabria",2014,588656
"81","Cantabria",2013,591888
"82","Cantabria",2012,593861
"83","Cantabria",2011,593121
"84","Cantabria",2010,592250
"85","Castilla y León",2021,2383139
"86","Castilla y León",2020,2394918
"87","Castilla y León",2019,2399548
"88","Castilla y León",2018,2409164
"89","Castilla y León",2017,2425801
"90","Castilla y León",2016,2447519
"91","Castilla y León",2015,2472052
"92","Castilla y León",2014,2494790
"93","Castilla y León",2013,2519875
"94","Castilla y León",2012,2546078
"95","Castilla y León",2011,2558463
"96","Castilla y León",2010,2559515
"97","Castilla - La Mancha",2021,2049562
"98","Castilla - La Mancha",2020,2045221
"99","Castilla - La Mancha",2019,2032863
"100","Castilla - La Mancha",2018,2026807
"101","Castilla - La Mancha",2017,2031479
"102","Castilla - La Mancha",2016,2041631
"103","Castilla - La Mancha",2015,2059191
"104","Castilla - La Mancha",2014,2078611
"105","Castilla - La Mancha",2013,2100998
"106","Castilla - La Mancha",2012,2121888
"107","Castilla - La Mancha",2011,2115334
